Country / region,Bird species count,,
Angola,915,,
Argentina,1004,,
Bolivia,1438,,
Brazil,1813,,
Cameroon,885,,
China,1288,,
Colombia, 1878,
Congo,1107,,
Costa Rica,857,,
Ecuador,1622,,
Ethiopia,819,,
Guyana,795,,
India,1211,,
Indonesia,1711,,
Kenya,1058,,
Mexico,1104,,
Myanmar,1031,,
Nepal,822,,
Nigeria,864,,
Panama,884,,
Peru,1858,,
Sudan,917,,
South Africa,762,,
South Sudan,804,,
Tanzania,1075,,
Thailand,934,,
Uganda,999,,
United States (USA),860,,
Venezuela,1394,,
Vietnam,835,,
